#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2017,4,23,21,40,10,3,3,0.1,MM,2.6,MM,1018.6,9.2,7.9,5.3,MM,MM,MM
2017,4,23,21,30,10,3,4,MM,MM,MM,MM,1018.4,9.1,7.6,5.7,MM,MM,MM
2017,4,23,21,20,360,4,4,MM,MM,MM,MM,1018.2,9,7.8,6,MM,MM,MM
2017,4,23,21,10,360,4,5,MM,MM,MM,MM,1018.3,8.9,7.8,6.4,MM,MM,MM
2017,4,23,21,0,360,4,5,MM,MM,MM,MM,1018.4,8.9,7.8,6.7,MM,-1.5,MM
2017,4,23,20,50,360,4,5,0.1,MM,2.6,MM,1018.7,8.8,7.8,6.6,MM,MM,MM
2017,4,23,20,40,360,4,5,MM,MM,MM,MM,1018.7,8.7,7.9,6.3,MM,MM,MM
2017,4,23,20,30,350,4,4,MM,MM,MM,MM,1018.7,8.6,7.9,5.9,MM,MM,MM
2017,4,23,20,20,360,3,4,MM,MM,MM,MM,1018.9,8.5,7.8,6.1,MM,MM,MM
2017,4,23,20,10,360,2,3,MM,MM,MM,MM,1018.9,8.3,7.7,6.1,MM,MM,MM
2017,4,23,20,0,360,3,3,MM,MM,MM,MM,1018.8,8.3,7.7,6,MM,-1.6,MM
2017,4,23,19,50,350,3,3,0.1,MM,2.6,MM,1019.1,8.2,7.7,5.8,MM,MM,MM
2017,4,23,19,40,10,2,3,MM,MM,MM,MM,1019.1,8.2,7.7,5.7,MM,MM,MM
2017,4,23,19,30,10,3,4,MM,MM,MM,MM,1019.1,8.1,7.7,5.7,MM,MM,MM
2017,4,23,19,20,360,4,4,MM,MM,MM,MM,1019.3,8,7.6,5.7,MM,MM,MM
2017,4,23,19,10,10,3,4,MM,MM,MM,MM,1019.4,7.9,7.7,5.6,MM,MM,MM
2017,4,23,19,0,10,3,4,MM,MM,MM,MM,1019.6,7.9,7.6,5.5,MM,-1.3,MM
2017,4,23,18,50,10,3,4,0.1,MM,2.8,MM,1019.7,7.8,7.7,5.3,MM,MM,MM
2017,4,23,18,40,10,3,4,MM,MM,MM,MM,1019.8,7.7,7.5,5.2,MM,MM,MM
2017,4,23,18,30,30,2,3,MM,MM,MM,MM,1019.8,7.6,7.5,5,MM,MM,MM
2017,4,23,18,20,50,2,2,MM,MM,MM,MM,1019.8,7.6,7.4,4.9,MM,MM,MM
2017,4,23,18,10,50,2,2,MM,MM,MM,MM,1019.9,7.5,7.4,4.8,MM,MM,MM
2017,4,23,18,0,50,2,3,MM,MM,MM,MM,1019.9,7.4,7.4,4.6,MM,-0.9,MM
2017,4,23,17,50,50,2,3,0.1,MM,2.8,MM,1019.9,7.4,7.3,4.6,MM,MM,MM
2017,4,23,17,40,50,2,3,MM,MM,MM,MM,1020,7.4,7.3,4.7,MM,MM,MM
2017,4,23,17,30,50,2,3,MM,MM,MM,MM,1020.2,7.3,7.4,4.5,MM,MM,MM
2017,4,23,17,20,40,2,3,MM,MM,MM,MM,1020.4,7.3,7.3,4.5,MM,MM,MM
2017,4,23,17,10,40,3,3,MM,MM,MM,MM,1020.4,7.3,7.3,4.4,MM,MM,MM
2017,4,23,17,0,20,3,4,MM,MM,MM,MM,1020.4,7.2,7.2,4.3,MM,-0.7,MM
2017,4,23,16,50,10,4,5,0.1,MM,2.9,MM,1020.5,7.2,7.3,4.3,MM,MM,MM
2017,4,23,16,40,10,4,4,MM,MM,MM,MM,1020.6,7.2,7.2,4.3,MM,MM,MM
2017,4,23,16,30,10,4,4,MM,MM,MM,MM,1020.7,7.1,7.2,4.2,MM,MM,MM
2017,4,23,16,20,10,4,5,MM,MM,MM,MM,1020.8,7.1,7.1,4.4,MM,MM,MM
2017,4,23,16,10,20,4,4,MM,MM,MM,MM,1020.8,7,7.1,4.2,MM,MM,MM
2017,4,23,16,0,20,3,4,MM,MM,MM,MM,1020.8,6.9,7.2,4.3,MM,-0.9,MM
2017,4,23,15,50,10,4,4,0.1,MM,2.6,MM,1021,6.8,7.2,4.2,MM,MM,MM
2017,4,23,15,40,10,4,4,MM,MM,MM,MM,1021.1,6.7,7.1,4,MM,MM,MM
2017,4,23,15,30,20,3,4,MM,MM,MM,MM,1021,6.7,7.1,3.9,MM,MM,MM
2017,4,23,15,20,40,2,3,MM,MM,MM,MM,1020.9,6.7,7,3.8,MM,MM,MM
2017,4,23,15,10,50,2,2,MM,MM,MM,MM,1020.7,6.7,7,3.8,MM,MM,MM
2017,4,23,15,0,60,2,2,MM,MM,MM,MM,1020.9,6.7,7,3.8,MM,-0.7,MM
2017,4,23,14,50,60,2,3,0.1,MM,2.8,MM,1021,6.7,6.9,3.9,MM,MM,MM
2017,4,23,14,40,60,2,3,MM,MM,MM,MM,1020.9,6.7,6.9,3.9,MM,MM,MM
2017,4,23,14,30,50,2,3,MM,MM,MM,MM,1021,6.7,6.9,4,MM,MM,MM
2017,4,23,14,20,40,3,3,MM,MM,MM,MM,1021,6.7,6.9,4.1,MM,MM,MM
2017,4,23,14,10,40,2,3,MM,MM,MM,MM,1021.1,6.7,6.9,4.2,MM,MM,MM
2017,4,23,14,0,40,2,3,MM,MM,MM,MM,1021.1,6.7,6.9,4.2,MM,0.3,MM
2017,4,23,13,50,30,2,3,0.1,MM,2.6,MM,1021.4,6.7,6.8,4.3,MM,MM,MM
2017,4,23,13,40,20,2,3,MM,MM,MM,MM,1021.4,6.7,6.8,4.5,MM,MM,MM
2017,4,23,13,30,20,2,3,MM,MM,MM,MM,1021.5,6.7,6.8,4.7,MM,MM,MM
2017,4,23,13,20,10,2,3,MM,MM,MM,MM,1021.7,6.7,6.8,4.9,MM,MM,MM
2017,4,23,13,10,10,3,3,MM,MM,MM,MM,1021.7,6.8,6.8,5.1,MM,MM,MM
2017,4,23,13,0,10,3,4,MM,MM,MM,MM,1021.8,6.8,6.8,4.9,MM,1.7,MM
2017,4,23,12,50,360,3,4,0.1,MM,2.5,MM,1021.8,6.9,6.8,4.8,MM,MM,MM
2017,4,23,12,40,10,3,3,MM,MM,MM,MM,1021.8,6.9,6.8,4.3,MM,MM,MM
2017,4,23,12,30,10,3,3,MM,MM,MM,MM,1021.5,6.9,6.8,4.2,MM,MM,MM
2017,4,23,12,20,360,3,4,MM,MM,MM,MM,1021.7,6.8,6.7,4.1,MM,MM,MM
2017,4,23,12,10,360,3,4,MM,MM,MM,MM,1021.7,6.7,6.7,4.2,MM,MM,MM
2017,4,23,12,0,360,3,3,MM,MM,MM,MM,1021.6,6.7,6.7,4.2,MM,1.8,MM
2017,4,23,11,50,360,2,3,0.1,MM,2.6,MM,1021.4,6.7,6.7,4,MM,MM,MM
2017,4,23,11,40,350,3,4,MM,MM,MM,MM,1021.3,6.5,6.7,4.3,MM,MM,MM
2017,4,23,11,30,340,2,3,MM,MM,MM,MM,1021.3,6.4,6.7,4.6,MM,MM,MM
2017,4,23,11,20,350,2,2,MM,MM,MM,MM,1021.2,6.4,6.7,4.8,MM,MM,MM
2017,4,23,11,10,340,2,2,MM,MM,MM,MM,1021,6.5,6.7,4.7,MM,MM,MM
2017,4,23,11,0,10,1,1,MM,MM,MM,MM,1020.9,6.4,6.7,4.4,MM,0.8,MM
2017,4,23,10,50,MM,0,1,0.1,MM,2.5,MM,1020.7,6.3,6.7,4.5,MM,MM,MM
2017,4,23,10,40,MM,0,1,MM,MM,MM,MM,1020.6,6.4,6.7,4.4,MM,MM,MM
2017,4,23,10,30,100,1,1,MM,MM,MM,MM,1020.5,6.5,6.7,4.3,MM,MM,MM
2017,4,23,10,20,100,1,1,MM,MM,MM,MM,1020.3,6.6,6.7,4.3,MM,MM,MM
2017,4,23,10,10,120,2,3,MM,MM,MM,MM,1020.2,6.6,6.7,4.1,MM,MM,MM
2017,4,23,10,0,120,3,3,MM,MM,MM,MM,1020,6.6,6.7,3.8,MM,-0.4,MM
2017,4,23,9,50,120,3,3,0.1,MM,2.4,MM,1019.8,6.6,6.7,3.4,MM,MM,MM
2017,4,23,9,40,120,3,3,MM,MM,MM,MM,1019.8,6.6,6.7,3.6,MM,MM,MM
2017,4,23,9,30,120,2,3,MM,MM,MM,MM,1019.7,6.5,6.7,3.6,MM,MM,MM
2017,4,23,9,20,120,2,2,MM,MM,MM,MM,1019.8,6.5,6.7,3.7,MM,MM,MM
2017,4,23,9,10,120,2,2,MM,MM,MM,MM,1019.8,6.5,6.7,3.8,MM,MM,MM
2017,4,23,9,0,120,2,2,MM,MM,MM,MM,1019.7,6.5,6.7,3.5,MM,-1.2,MM
2017,4,23,8,50,110,2,3,0.1,MM,2.4,MM,1019.7,6.5,6.7,3.4,MM,MM,MM
2017,4,23,8,40,100,2,3,MM,MM,MM,MM,1019.7,6.5,6.7,3.4,MM,MM,MM
2017,4,23,8,30,100,2,3,MM,MM,MM,MM,1019.8,6.5,6.8,3.3,MM,MM,MM
2017,4,23,8,20,100,2,3,MM,MM,MM,MM,1019.8,6.4,6.8,3.3,MM,MM,MM
2017,4,23,8,10,90,2,2,MM,MM,MM,MM,1019.9,6.4,6.7,3.4,MM,MM,MM
2017,4,23,8,0,90,2,3,MM,MM,MM,MM,1020,6.4,6.8,3.5,MM,-1.1,MM
2017,4,23,7,50,90,2,3,0.1,MM,2.4,MM,1020,6.5,6.8,3.4,MM,MM,MM
2017,4,23,7,40,90,3,3,MM,MM,MM,MM,1020,6.5,6.8,3.3,MM,MM,MM
2017,4,23,7,30,100,2,3,MM,MM,MM,MM,1020.1,6.5,6.8,3.4,MM,MM,MM
2017,4,23,7,20,80,2,3,MM,MM,MM,MM,1020.2,6.6,6.8,3.4,MM,MM,MM
2017,4,23,7,10,MM,MM,MM,MM,MM,MM,MM,MM,MM,6.8,MM,MM,MM,MM
2017,4,23,7,0,70,3,3,MM,MM,MM,MM,1020.4,6.8,MM,3.3,MM,-0.6,MM
2017,4,23,6,50,60,2,3,0.1,MM,2.4,MM,1020.5,6.9,6.8,2.8,MM,MM,MM
2017,4,23,6,40,40,2,3,MM,MM,MM,MM,1020.5,7,6.8,2.6,MM,MM,MM
2017,4,23,6,30,40,3,3,MM,MM,MM,MM,1020.6,7.1,6.8,2.4,MM,MM,MM
2017,4,23,6,20,40,3,3,MM,MM,MM,MM,1020.6,7.2,6.8,2.4,MM,MM,MM
2017,4,23,6,10,30,3,4,MM,MM,MM,MM,1020.8,7.2,6.8,2.2,MM,MM,MM
2017,4,23,6,0,30,3,4,MM,MM,MM,MM,1020.9,7.3,6.9,2.1,MM,0,MM
2017,4,23,5,50,30,3,4,0.1,MM,2.4,MM,1021,7.3,6.9,2,MM,MM,MM
2017,4,23,5,40,20,3,4,MM,MM,MM,MM,1021,7.4,6.9,2.3,MM,MM,MM
2017,4,23,5,30,30,3,3,MM,MM,MM,MM,1021.1,7.4,6.9,2.5,MM,MM,MM
2017,4,23,5,20,20,3,4,MM,MM,MM,MM,1021.1,7.4,6.9,2.5,MM,MM,MM
2017,4,23,5,10,20,3,4,MM,MM,MM,MM,1021.2,7.4,6.9,2.5,MM,MM,MM
2017,4,23,5,0,20,3,4,MM,MM,MM,MM,1021.1,7.5,6.9,2.7,MM,0.2,MM
2017,4,23,4,50,20,3,4,0.2,MM,2.5,MM,1021.1,7.5,6.9,2.7,MM,MM,MM
2017,4,23,4,40,10,3,4,MM,MM,MM,MM,1021,7.5,7,2.7,MM,MM,MM
2017,4,23,4,30,10,3,4,MM,MM,MM,MM,1021.1,7.6,7,2.9,MM,MM,MM
2017,4,23,4,20,10,3,4,MM,MM,MM,MM,1021,7.6,7,3.3,MM,MM,MM
2017,4,23,4,10,10,4,4,MM,MM,MM,MM,1021,7.7,7,3.2,MM,MM,MM
2017,4,23,4,0,10,3,4,MM,MM,MM,MM,1021,7.7,7,3,MM,0.6,MM
2017,4,23,3,50,10,4,4,0.2,MM,2.5,MM,1021,7.7,7,3.3,MM,MM,MM
2017,4,23,3,40,10,4,5,MM,MM,MM,MM,1020.9,7.9,7,3.3,MM,MM,MM
2017,4,23,3,30,10,4,5,MM,MM,MM,MM,1021,7.8,7.1,3.5,MM,MM,MM
2017,4,23,3,20,360,4,5,MM,MM,MM,MM,1021,7.8,7.1,3.9,MM,MM,MM
2017,4,23,3,10,10,4,4,MM,MM,MM,MM,1020.9,7.7,7.2,4,MM,MM,MM
2017,4,23,3,0,20,3,4,MM,MM,MM,MM,1021,7.8,7.2,4,MM,0.7,MM
2017,4,23,2,50,20,2,3,0.2,MM,2.7,MM,1021.1,7.8,7.2,4.1,MM,MM,MM
2017,4,23,2,40,30,2,3,MM,MM,MM,MM,1021.1,8,7.2,4,MM,MM,MM
2017,4,23,2,30,30,2,3,MM,MM,MM,MM,1021,8,7.3,3.8,MM,MM,MM
2017,4,23,2,20,30,2,2,MM,MM,MM,MM,1021,8,7.3,4.1,MM,MM,MM
2017,4,23,2,10,20,2,3,MM,MM,MM,MM,1020.9,8.2,7.3,3.9,MM,MM,MM
2017,4,23,2,0,10,2,3,MM,MM,MM,MM,1020.9,8.2,7.3,3.8,MM,0.8,MM
2017,4,23,1,50,10,2,3,0.2,MM,2.7,MM,1020.7,7.9,7.3,4.2,MM,MM,MM
2017,4,23,1,40,340,1,1,MM,MM,MM,MM,MM,MM,7.3,MM,MM,MM,MM
2017,4,23,1,30,MM,0,1,MM,MM,MM,MM,1020.6,7.5,7.3,4.3,MM,MM,MM
2017,4,23,1,20,MM,0,1,MM,MM,MM,MM,1020.6,7.4,7.3,4.5,MM,MM,MM
2017,4,23,1,10,310,1,1,MM,MM,MM,MM,1020.5,7.4,MM,4.7,MM,MM,MM
2017,4,23,1,0,MM,0,1,MM,MM,MM,MM,1020.4,7.2,7.3,5,MM,0,MM
2017,4,23,0,50,MM,0,1,0.2,MM,2.8,MM,1020.3,7.2,7.4,5.2,MM,MM,MM
2017,4,23,0,40,MM,MM,MM,0.2,MM,2.8,MM,MM,MM,MM,MM,MM,MM,MM
2017,4,23,0,30,320,2,2,MM,MM,MM,MM,1020.2,7.3,7.4,5.4,MM,MM,MM
2017,4,23,0,20,310,1,2,MM,MM,MM,MM,1020.2,7.4,7.3,5.5,MM,MM,MM
2017,4,23,0,10,280,1,1,MM,MM,MM,MM,1020.2,7.5,7.4,5.2,MM,MM,MM
2017,4,23,0,0,250,2,2,MM,MM,MM,MM,1020.3,7.4,7.3,4.8,MM,-0.3,MM
2017,4,22,23,50,240,1,2,0.2,MM,2.9,MM,1020.5,7.4,7.4,4.7,MM,MM,MM
2017,4,22,23,40,240,2,2,0.2,MM,2.9,MM,1020.4,7.4,7.4,4.6,MM,MM,MM
2017,4,22,23,30,240,2,2,MM,MM,MM,MM,1020.2,7.3,7.2,4.4,MM,MM,MM
2017,4,22,23,20,230,1,2,MM,MM,MM,MM,1020.2,7.3,7.4,4.2,MM,MM,MM
2017,4,22,23,10,230,1,1,MM,MM,MM,MM,1020.1,7.3,7.3,4.2,MM,MM,MM
2017,4,22,23,0,240,1,1,MM,MM,MM,MM,1020.1,7.3,7.4,4,MM,-1,MM
2017,4,22,22,50,230,1,1,0.2,MM,2.9,MM,1020.1,7.4,7.2,4,MM,MM,MM
2017,4,22,22,40,210,1,1,MM,MM,MM,MM,1020.2,7.4,7.3,4,MM,MM,MM
2017,4,22,22,30,200,1,1,MM,MM,MM,MM,1020.3,7.4,7.2,3.7,MM,MM,MM
2017,4,22,22,20,MM,0,1,MM,MM,MM,MM,1020.3,7.5,7.3,3.8,MM,MM,MM
2017,4,22,22,10,180,1,2,MM,MM,MM,MM,1020.4,7.4,7.3,3.8,MM,MM,MM
2017,4,22,22,0,180,1,2,MM,MM,MM,MM,1020.4,7.4,7.3,3.7,MM,-0.8,MM
2017,4,22,21,50,180,1,1,0.3,3,3,30,1020.4,7.5,7.4,3.5,MM,MM,MM
2017,4,22,21,40,200,1,1,MM,MM,MM,MM,1020.5,7.5,7.3,3.5,MM,MM,MM
2017,4,22,21,30,200,1,1,MM,MM,MM,MM,1020.5,7.5,7.3,3.5,MM,MM,MM
2017,4,22,21,20,170,1,1,MM,MM,MM,MM,1020.5,7.4,7.3,3.2,MM,MM,MM
2017,4,22,21,10,160,1,1,MM,MM,MM,MM,1020.6,7.7,7.3,3,MM,MM,MM
2017,4,22,21,0,MM,0,1,MM,MM,MM,MM,1020.6,8.1,7.4,3.1,MM,-0.8,MM
2017,4,22,20,50,MM,0,0,0.3,3,3,7,1020.4,8.1,7.3,3.3,MM,MM,MM
2017,4,22,20,40,MM,0,1,MM,MM,MM,MM,1020.6,7.6,7.3,3.3,MM,MM,MM
2017,4,22,20,30,160,1,1,MM,MM,MM,MM,1020.7,7.4,7.2,3.1,MM,MM,MM
2017,4,22,20,20,170,1,2,MM,MM,MM,MM,1020.9,7.4,7.3,3.4,MM,MM,MM
2017,4,22,20,10,180,1,2,MM,MM,MM,MM,1021,7.3,7.2,3.6,MM,MM,MM
2017,4,22,20,0,170,2,2,MM,MM,MM,MM,1021.1,7.3,7.2,3.6,MM,-0.4,MM
2017,4,22,19,50,160,2,2,0.3,3,3,5,1021.2,7.3,7.1,3.6,MM,MM,MM
2017,4,22,19,40,160,2,2,MM,MM,MM,MM,1021.1,7.3,7.3,3.4,MM,MM,MM
2017,4,22,19,30,180,2,2,MM,MM,MM,MM,1021.2,7.2,7.2,3.3,MM,MM,MM
2017,4,22,19,20,180,1,2,MM,MM,MM,MM,1021.2,7.3,7.2,3.3,MM,MM,MM
2017,4,22,19,10,150,1,1,MM,MM,MM,MM,1021.3,7.3,7.1,3.1,MM,MM,MM
2017,4,22,19,0,160,1,2,MM,MM,MM,MM,1021.2,7.2,7,3.1,MM,0,MM
2017,4,22,18,50,170,1,2,0.3,3,3,7,1021.4,7.1,7.1,3.3,MM,MM,MM
2017,4,22,18,40,180,2,2,MM,MM,MM,MM,1021.5,6.9,7,3.3,MM,MM,MM
2017,4,22,18,30,190,2,2,MM,MM,MM,MM,1021.5,6.9,7,3.3,MM,MM,MM
2017,4,22,18,20,190,1,1,MM,MM,MM,MM,1021.5,7,6.9,3.3,MM,MM,MM
2017,4,22,18,10,170,1,1,MM,MM,MM,MM,1021.4,6.9,6.8,3.3,MM,MM,MM
2017,4,22,18,0,150,1,1,MM,MM,MM,MM,1021.3,7.1,6.8,3.2,MM,0.3,MM
2017,4,22,17,50,MM,0,0,0.3,3,3,0,1021.4,7.2,6.8,3.1,MM,MM,MM
2017,4,22,17,40,MM,0,1,MM,MM,MM,MM,1021.5,7,6.8,3.3,MM,MM,MM
2017,4,22,17,30,60,1,2,MM,MM,MM,MM,1021.5,6.7,6.9,3.2,MM,MM,MM
2017,4,22,17,20,40,1,2,MM,MM,MM,MM,1021.4,6.6,6.9,3.2,MM,MM,MM
2017,4,22,17,10,30,2,2,MM,MM,MM,MM,1021.4,6.6,6.9,3.3,MM,MM,MM
2017,4,22,17,0,20,2,2,MM,MM,MM,MM,1021.6,6.6,6.8,3.2,MM,0.6,MM
2017,4,22,16,50,20,2,3,0.4,3,3,20,1021.8,6.5,6.8,3.3,MM,MM,MM
2017,4,22,16,40,20,3,3,MM,MM,MM,MM,1021.7,6.5,6.7,3.3,MM,MM,MM
2017,4,22,16,30,20,3,4,MM,MM,MM,MM,1021.7,6.5,6.7,3.3,MM,MM,MM
2017,4,22,16,20,20,4,5,MM,MM,MM,MM,1021.5,6.4,6.7,3.4,MM,MM,MM
2017,4,22,16,10,20,5,6,MM,MM,MM,MM,1021.4,6.4,6.7,3.6,MM,MM,MM
2017,4,22,16,0,10,5,6,MM,MM,MM,MM,1021.4,6.3,6.7,3.8,MM,0.5,MM
2017,4,22,15,50,10,5,6,0.5,3,3,19,1021.2,6.3,6.7,3.6,MM,MM,MM
2017,4,22,15,40,20,6,7,MM,MM,MM,MM,1021.2,6.2,6.7,3.5,MM,MM,MM
2017,4,22,15,30,20,5,6,MM,MM,MM,MM,1021,6.2,6.7,3.5,MM,MM,MM
2017,4,22,15,20,20,5,6,MM,MM,MM,MM,1021.3,6.2,6.7,3.3,MM,MM,MM
2017,4,22,15,10,30,6,7,MM,MM,MM,MM,1021.1,6.2,6.7,3.2,MM,MM,MM
2017,4,22,15,0,20,6,7,MM,MM,MM,MM,1021.1,6.2,6.7,3.3,MM,0.3,MM
2017,4,22,14,50,20,6,7,0.5,3,3.1,21,1020.7,6.2,6.7,3.3,MM,MM,MM
2017,4,22,14,40,20,6,7,MM,MM,MM,MM,1020.6,6.1,6.7,3.2,MM,MM,MM
2017,4,22,14,30,20,6,7,MM,MM,MM,MM,1020.8,6.2,6.7,3.3,MM,MM,MM
2017,4,22,14,20,20,6,7,MM,MM,MM,MM,1020.8,6.1,6.7,3.2,MM,MM,MM
2017,4,22,14,10,20,6,7,MM,MM,MM,MM,1020.8,6.1,6.7,3.3,MM,MM,MM
2017,4,22,14,0,10,6,7,MM,MM,MM,MM,1021,6.1,6.7,3.3,MM,1,MM
2017,4,22,13,50,10,6,7,0.5,4,3.1,17,1021.2,6.1,6.7,3.2,MM,MM,MM
2017,4,22,13,40,10,7,8,MM,MM,MM,MM,1021.3,6.1,6.7,3.3,MM,MM,MM
2017,4,22,13,30,10,6,8,MM,MM,MM,MM,1021.1,6.1,6.7,3.4,MM,MM,MM
2017,4,22,13,20,10,7,8,MM,MM,MM,MM,1021.1,6.1,6.7,3.2,MM,MM,MM
2017,4,22,13,10,20,7,8,MM,MM,MM,MM,1020.9,6.1,6.7,3.4,MM,MM,MM
2017,4,22,13,0,20,6,7,MM,MM,MM,MM,1020.9,6.1,6.7,3.3,MM,2.1,MM
2017,4,22,12,50,20,6,8,0.5,3,3.1,13,1021,6.2,6.7,3.3,MM,MM,MM
2017,4,22,12,40,10,6,8,MM,MM,MM,MM,1020.8,6.3,6.7,3.4,MM,MM,MM
2017,4,22,12,30,10,6,7,MM,MM,MM,MM,1020.9,6.4,6.7,3.5,MM,MM,MM
2017,4,22,12,20,10,6,8,MM,MM,MM,MM,1021.1,6.4,6.7,3.4,MM,MM,MM
2017,4,22,12,10,10,7,9,MM,MM,MM,MM,1020.9,6.5,6.7,3.4,MM,MM,MM
2017,4,22,12,0,10,7,8,MM,MM,MM,MM,1020.8,6.5,6.7,3.4,MM,2,MM
2017,4,22,11,50,360,7,8,0.5,3,3,9,1020.6,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,40,360,7,8,MM,MM,MM,MM,1020.5,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,30,360,7,9,MM,MM,MM,MM,1020.5,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,20,360,6,8,MM,MM,MM,MM,1020.5,6.5,6.7,3.6,MM,MM,MM
2017,4,22,11,10,10,7,8,MM,MM,MM,MM,1020.2,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,0,360,7,9,MM,MM,MM,MM,1019.9,6.5,6.7,3.5,MM,0.7,MM
2017,4,22,10,50,360,7,9,0.4,3,2.8,0,1019.6,6.5,6.7,3.7,MM,MM,MM
2017,4,22,10,40,360,7,9,MM,MM,MM,MM,1019.1,6.5,6.7,3.7,MM,MM,MM
2017,4,22,10,30,10,7,9,MM,MM,MM,MM,1019,6.6,6.7,3.8,MM,MM,MM
2017,4,22,10,20,360,7,8,MM,MM,MM,MM,1018.7,6.6,6.7,3.9,MM,MM,MM
2017,4,22,10,10,360,6,8,MM,MM,MM,MM,1018.8,6.6,6.7,3.8,MM,MM,MM
2017,4,22,10,0,360,7,8,MM,MM,MM,MM,1018.8,6.6,6.7,3.8,MM,-0.4,MM
2017,4,22,9,50,350,6,8,0.4,3,2.8,348,1018.9,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,40,360,6,7,MM,MM,MM,MM,1019,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,30,360,7,8,MM,MM,MM,MM,1018.8,6.7,6.7,3.8,MM,MM,MM
2017,4,22,9,20,350,6,7,MM,MM,MM,MM,1019,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,10,350,5,7,MM,MM,MM,MM,1019,6.7,6.7,4.4,MM,MM,MM
2017,4,22,9,0,350,5,6,MM,MM,MM,MM,1018.8,6.7,6.7,4.5,MM,-0.5,MM
2017,4,22,8,50,340,4,5,0.3,3,2.9,13,1019,6.8,6.7,4.7,MM,MM,MM
2017,4,22,8,40,350,4,5,MM,MM,MM,MM,1019.2,6.7,6.7,4.7,MM,MM,MM
2017,4,22,8,30,350,3,4,MM,MM,MM,MM,1019.2,6.6,6.7,5.1,MM,MM,MM
2017,4,22,8,20,340,4,5,MM,MM,MM,MM,1019.4,6.6,6.7,5,MM,MM,MM
2017,4,22,8,10,350,4,5,MM,MM,MM,MM,1019.3,6.6,6.7,4.9,MM,MM,MM
2017,4,22,8,0,360,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.9,MM,0,MM
2017,4,22,7,50,360,4,5,0.4,3,3,341,1019.2,6.6,6.7,4.9,MM,MM,MM
2017,4,22,7,40,10,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.9,MM,MM,MM
2017,4,22,7,30,10,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.8,MM,MM,MM
2017,4,22,7,20,10,5,6,MM,MM,MM,MM,1019.2,6.5,6.7,4.8,MM,MM,MM
2017,4,22,7,10,10,5,6,MM,MM,MM,MM,1019.3,6.5,6.7,4.9,MM,MM,MM
2017,4,22,7,0,10,5,6,MM,MM,MM,MM,1019.2,6.5,6.7,4.8,MM,0,MM
2017,4,22,6,50,10,5,6,0.3,3,2.7,2,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,40,20,4,6,MM,MM,MM,MM,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,30,20,5,6,MM,MM,MM,MM,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,20,20,5,6,MM,MM,MM,MM,1019.4,6.7,6.7,4.8,MM,MM,MM
2017,4,22,6,10,20,5,6,MM,MM,MM,MM,1019.4,6.7,6.7,4.7,MM,MM,MM
